Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Topic
"TechCorp needs to connect their on-premises data center to AWS with dedicated bandwidth and consistent network performance for their mission-critical applications. Which service should they implement?","VPN Gateway","Direct Connect","Transit Gateway","NAT Gateway",B,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"A financial services company wants to isolate their production and development environments while allowing controlled communication between specific subnets. What VPC design pattern should they implement?","Single VPC with public subnets only","Multiple VPCs with VPC peering","Single VPC with multiple availability zones","VPC with only private subnets",B,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"GlobalRetail operates in 15 countries and needs to route traffic to the nearest AWS region based on user location. Their application requires health checks and failover capabilities. Which Route 53 routing policy should they use?","Simple routing","Weighted routing","Geolocation routing","Latency-based routing",D,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"A startup is migrating from on-premises to AWS and needs to connect multiple VPCs across different regions while maintaining a hub-and-spoke topology. What service provides the most scalable solution?","VPC Peering","Direct Connect Gateway","Transit Gateway","Site-to-Site VPN",C,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"HealthcarePlus needs to provide secure API access to partner organizations without exposing their services to the public internet. Which AWS service should they implement?","Internet Gateway","NAT Gateway","VPC Endpoint","PrivateLink",D,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"A media company experiences unpredictable traffic spikes during live events. Their application can scale from 10 to 1000 instances within minutes. Which combination of services would be most cost-effective?","Reserved Instances with manual scaling","Spot Instances with Auto Scaling","On-Demand Instances with fixed capacity","Dedicated Hosts with Auto Scaling",B,"EC2, Auto Scaling, Elastic Load Balancing"
"TravelApp needs to distribute incoming traffic across multiple EC2 instances running in different availability zones. They require SSL termination and health checks. Which load balancer type is most appropriate?","Classic Load Balancer","Application Load Balancer","Network Load Balancer","Gateway Load Balancer",B,"EC2, Auto Scaling, Elastic Load Balancing"
"A gaming company runs containerized microservices and needs orchestration with automatic scaling based on CPU utilization. They want AWS to manage the underlying infrastructure. Which service should they choose?","ECS with EC2 launch type","EKS with managed node groups","Fargate with ECS","Lambda functions",C,"Containers: ECS, EKS, Fargate"
"DataProcessing Inc. has a batch job that runs every night, processing files from S3. The job duration varies from 30 minutes to 3 hours. They want to minimize costs and don't need permanent infrastructure. What's the best solution?","EC2 Spot Instances","Lambda functions","Fargate tasks","ECS with EC2 instances",B,"Serverless: Lambda, Step Functions"
"A workflow orchestration system needs to coordinate multiple AWS services including Lambda, SNS, and DynamoDB with error handling and retry logic. Which service provides visual workflow management?","EventBridge","Step Functions","SQS","CloudFormation",B,"Serverless: Lambda, Step Functions"
"SecurityFirst Corp requires real-time security posture management across 50 AWS accounts. They need centralized findings aggregation and compliance monitoring against industry standards. Which service should they implement?","GuardDuty","Security Hub","Config","CloudTrail",B,"AWS Security Hub: integrations, findings, standards"
"A financial institution needs to implement fine-grained permissions for developers while ensuring they cannot escalate privileges or access production resources. What IAM feature should they use?","IAM roles","Service Control Policies","Permission boundaries","Resource-based policies",C,"IAM best practices, SCPs, and permission boundaries"
"MultiCorp wants to prevent any user in their development OU from launching instances larger than t3.medium across all accounts. Which AWS service enforces this organization-wide policy?","IAM policies","Service Control Policies","AWS Config rules","Security Hub",B,"IAM best practices, SCPs, and permission boundaries"
"An e-commerce platform needs to track all API calls and resource changes for compliance auditing. They require searchable logs with integrity verification. Which service combination is most appropriate?","CloudWatch Logs + EventBridge","CloudTrail + S3 + GuardDuty","Config + CloudWatch","Security Hub + Systems Manager",B,"AWS Config, CloudTrail, GuardDuty"
"TechStartup wants to monitor their AWS environment for malicious activity and receive automated threat intelligence. They need protection against cryptocurrency mining and data exfiltration. Which service should they enable?","AWS Config","CloudTrail","GuardDuty","Security Hub",C,"AWS Config, CloudTrail, GuardDuty"
"A media company stores petabytes of video content and needs a storage solution with different access tiers based on viewing patterns. Recent videos need immediate access, while archive content can tolerate retrieval delays. What's the optimal strategy?","S3 Standard for all content","S3 Intelligent-Tiering with lifecycle policies","EBS with automated snapshots","EFS with backup policies",B,"S3, Glacier, EBS, EFS, FSx"
"DatabaseCorp runs a high-performance computing cluster that requires shared file storage accessible from multiple EC2 instances simultaneously with POSIX compliance. Which storage service should they use?","S3","EBS Multi-Attach","EFS","FSx for Lustre",C,"S3, Glacier, EBS, EFS, FSx"
"A financial services company needs to implement automated backup and disaster recovery for their critical data across multiple AWS services. They require point-in-time recovery and cross-region replication. Which service provides centralized backup management?","AWS Backup","EBS Snapshots","S3 Cross-Region Replication","Database automated backups",A,"Data lifecycle policies and replication"
"An e-learning platform experiences seasonal traffic variations and wants to optimize their architecture for cost, performance, and reliability. They're using EC2, RDS, and S3. Which Well-Architected pillar should they focus on first?","Security","Cost Optimization","Performance Efficiency","Operational Excellence",B,"Pillars: Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, Sustainability"
"StartupTech is preparing for a Well-Architected Review and needs to identify security risks and cost optimization opportunities in their current architecture. Which AWS tool should they use?","AWS Config","CloudFormation","Well-Architected Tool","Systems Manager",C,"Review process and tools"
"A DevOps engineer needs to automate the creation of 100 EC2 instances across multiple regions with specific tags and security groups using the command line. Which tool should they use?","AWS Management Console","AWS CLI","AWS SDKs","CloudFormation",B,"Introduction to AWS CLI"
"DataAnalytics Inc. wants to programmatically retrieve CloudWatch metrics and create custom dashboards using Python. Which AWS tool provides the most flexibility for this use case?","AWS CLI","AWS SDK (Boto3)","AWS Management Console","CloudFormation",B,"CLI commands for EC2, S3, IAM, CloudWatch"
"A Python developer needs to integrate AWS services into their application for S3 file uploads, DynamoDB operations, and Lambda function invocations. What's the recommended approach?","Use AWS CLI commands in Python","Implement REST API calls","Use AWS SDK (Boto3)","Use CloudFormation templates",C,"Using AWS SDKs (Python/Boto3 basics)"
