Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Topic
"GlobalMedia Corp runs a video streaming platform serving 50 million users worldwide. They need to implement a solution that combines S3 for video storage, CloudFront for global content delivery, Lambda for video processing triggers, API Gateway for user authentication, and DynamoDB for user preferences. The solution must automatically transcode uploaded videos, update user viewing history, send notifications via SNS, and scale based on regional demand. They also need cost optimization through S3 lifecycle policies and spot instances for batch processing. Which architecture pattern best addresses all these requirements?","Monolithic application on EC2 with RDS","Serverless microservices with event-driven architecture","Container-based architecture on EKS","Traditional three-tier architecture with load balancers",B,"Multi-Service Architecture Integration"
"FinTechSecure operates a banking application that must comply with PCI DSS and SOX regulations. Their architecture includes VPC with private subnets, EC2 instances behind Application Load Balancer, RDS with Multi-AZ deployment, ElastiCache for session management, and S3 for document storage. They need to implement comprehensive security including WAF, GuardDuty, Security Hub, CloudTrail, Config, and KMS for encryption. The solution must also include automated backup with AWS Backup, disaster recovery across regions, and real-time fraud detection using SageMaker. All data must be encrypted in transit and at rest with audit trails. What security architecture framework should they implement?","Basic security groups and NACLs only","Comprehensive defense-in-depth security architecture","Single-layer security with encryption","Perimeter-based security model",B,"Security and Compliance Integration"
"DataAnalytics Inc. processes 100TB of data daily from IoT devices, social media feeds, and transaction logs. Their pipeline includes Kinesis Data Streams for real-time ingestion, Kinesis Analytics for stream processing, S3 Data Lake for storage, Glue for ETL operations, Redshift for data warehousing, and QuickSight for visualization. They need to implement data governance with Lake Formation, cost optimization through Reserved Instances and Spot Fleet, and machine learning insights using SageMaker. The solution must handle schema evolution, data quality checks, and provide sub-second query response times. Which data architecture pattern optimizes for both performance and cost?","Traditional data warehouse approach","Modern data lake with real-time processing","Hybrid cloud data architecture","NoSQL-only data storage",B,"Big Data and Analytics Integration"
"CloudFirst Enterprises is migrating 500 applications from on-premises to AWS using a phased approach. Phase 1 involves lift-and-shift migration using Application Migration Service, Direct Connect for hybrid connectivity, and Transit Gateway for network segmentation. Phase 2 requires modernization using containers (ECS/EKS), serverless functions (Lambda), and managed databases (RDS/DynamoDB). They need centralized logging with CloudWatch, monitoring with X-Ray, and cost management through Organizations and Control Tower. The migration must maintain zero downtime and ensure compliance across all phases. What migration strategy framework should they adopt?","Big bang migration approach","Phased migration with 6R strategy framework","Cloud-native rebuild approach","Hybrid permanent architecture",B,"Migration and Modernization"
"E-CommerceGlobal handles Black Friday traffic spikes from 10,000 to 2 million concurrent users within hours. Their architecture uses Auto Scaling Groups with predictive scaling, Application Load Balancer with sticky sessions, ElastiCache for caching, RDS with read replicas, and CloudFront for static content. They implement chaos engineering using AWS Fault Injection Simulator, blue-green deployments with CodeDeploy, and real-time monitoring with CloudWatch and SNS alerts. The system must automatically scale across multiple regions and handle database failover seamlessly. Which resilience architecture pattern ensures 99.99% availability during peak events?","Single region with manual scaling","Multi-region active-passive with auto-scaling","Multi-region active-active with predictive scaling","Single AZ with high-capacity instances",C,"High Availability and Disaster Recovery"
"DevOpsFlow implements a complete CI/CD pipeline for 200+ microservices using CodeCommit for source control, CodeBuild for containerized builds, CodePipeline for orchestration, and CodeDeploy for automated deployments. They use EKS for container orchestration, ECR for image registry, CloudFormation for infrastructure as code, and Systems Manager for configuration management. The pipeline includes automated testing with parallel test execution, security scanning with Inspector and CodeGuru, and deployment strategies including canary and blue-green releases. Performance monitoring uses X-Ray distributed tracing and CloudWatch Container Insights. What CI/CD architecture pattern optimizes for both speed and quality?","Monolithic deployment pipeline","Microservices-optimized pipeline with parallel processing","Manual deployment with automation","Sequential pipeline with single builds",B,"DevOps and Automation Integration"
"SmartCity IoT platform collects data from 1 million sensors including traffic lights, air quality monitors, and smart meters. The architecture uses IoT Core for device management, Kinesis for data streaming, Lambda for real-time processing, DynamoDB for time-series data, and SageMaker for predictive analytics. They implement edge computing with Greengrass, data encryption with IoT Device Defender, and visualization dashboards with QuickSight. The system must handle device authentication, firmware updates over-the-air, and provide real-time alerts for anomalies. Data retention policies automatically archive old data to Glacier. Which IoT architecture pattern handles massive scale with optimal costs?","Centralized processing with EC2","Edge-optimized architecture with serverless processing","Traditional sensor networks","Cloud-only processing model",B,"IoT and Edge Computing Integration"
"MLPlatform Corp builds a recommendation engine serving 10 million personalized recommendations per second. Their architecture combines real-time inference using SageMaker endpoints with auto-scaling, batch training with SageMaker Training Jobs using Spot instances, feature store using SageMaker Feature Store, and model registry for versioning. They implement A/B testing with multiple model variants, data labeling with Ground Truth, and model monitoring with Model Monitor for drift detection. The pipeline includes automated retraining triggers, multi-model endpoints for cost optimization, and integration with Kinesis for real-time feature engineering. Which ML architecture pattern optimizes for both performance and cost?","Single model deployment","Multi-model serverless architecture with automated lifecycle","Traditional batch processing","Manual model management",B,"Machine Learning and AI Integration"
"GameTech Studios operates a multiplayer gaming platform with real-time matchmaking, leaderboards, and in-game purchases. Their architecture uses GameLift for game session management, ElastiCache for player session data, DynamoDB for game state, API Gateway for mobile APIs, and Cognito for player authentication. They implement anti-cheat detection using Lambda and SageMaker, real-time chat with WebSocket APIs, and game analytics with Kinesis and Redshift. The system must handle global latency requirements, fraud detection for purchases, and automatic scaling during game launches. Which gaming architecture pattern provides optimal player experience?","Traditional game server hosting","Serverless gaming with managed services","Dedicated hardware deployment","Peer-to-peer networking only",B,"Gaming and Real-time Applications"
"HealthcarePlus implements a HIPAA-compliant telemedicine platform handling video consultations, medical records, and prescription management. Their architecture includes encrypted S3 buckets for medical images, RDS with encryption for patient data, API Gateway with API keys for third-party integrations, and Lambda functions for business logic. They use CloudFront with field-level encryption, WAF for application security, and Macie for data classification. The system implements audit logging with CloudTrail, automated backup with point-in-time recovery, and disaster recovery with cross-region replication. Patient data must be accessible within 2 seconds globally while maintaining HIPAA compliance. Which healthcare architecture pattern ensures both performance and compliance?","Basic cloud deployment","HIPAA-compliant multi-layered architecture","Single-region deployment","Hybrid cloud approach",B,"Healthcare and Compliance"
