Question,Scenario,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Topic
"A data scientist at TechCorp needs to predict house prices based on historical sales data with known prices. What type of machine learning approach should they use?","TechCorp Real Estate wants to build an automated valuation model using 50,000 historical home sales with features like square footage, location, bedrooms, and sale prices.","A) Unsupervised learning with clustering","B) Supervised learning with regression","C) Reinforcement learning with rewards","D) Semi-supervised learning with partial labels","B","Since we have historical data with known target values (sale prices), this is a supervised learning problem. We're predicting continuous values (prices), making it a regression task.","ML Fundamentals"
"In the house price prediction model, which evaluation metric would be MOST appropriate for measuring model performance?","The model needs to minimize prediction errors and the business cares about both small and large prediction errors equally.","A) Accuracy and Precision","B) Mean Absolute Error (MAE) and Root Mean Square Error (RMSE)","C) F1-Score and ROC-AUC","D) Confusion Matrix and Classification Report","B","For regression problems like price prediction, MAE and RMSE are appropriate metrics. MAE gives average absolute error, while RMSE penalizes larger errors more heavily.","Evaluation Metrics"
"The real estate dataset has missing values in the 'garage_size' column (20% missing) and 'year_built' column (5% missing). What's the best preprocessing strategy?","Missing garage_size values might indicate no garage, while missing year_built values appear random and could significantly impact price predictions.","A) Drop all rows with any missing values","B) Fill garage_size with 0, year_built with median value","C) Fill all missing values with column means","D) Use forward-fill for all missing values","B","Domain knowledge suggests missing garage_size likely means no garage (0), while year_built missing values should be imputed with median to avoid skewing the distribution.","Data Preprocessing"
"For the house price model with 50,000 samples, what would be an appropriate train-validation-test split strategy?","The model needs hyperparameter tuning and final performance evaluation. The data spans 10 years (2013-2023) with potential temporal patterns.","A) Random 80-10-10 split","B) Temporal split: 2013-2019 train, 2020-2021 validation, 2022-2023 test","C) 90-5-5 split to maximize training data","D) Cross-validation only, no separate test set","B","Temporal splitting prevents data leakage and better reflects real-world deployment where the model predicts future prices based on historical data.","Train-Test Split"
"After training Linear Regression, Random Forest, and XGBoost models, the validation RMSE results are: LR: $45K, RF: $32K, XGB: $30K. Training RMSE: LR: $44K, RF: $15K, XGB: $28K. Which model should you choose?","The business prioritizes model interpretability but also wants reasonable accuracy. Production environment has latency constraints.","A) Linear Regression for best interpretability","B) Random Forest shows severe overfitting","C) XGBoost for best validation performance","D) Ensemble of all three models","C","XGBoost has the best validation RMSE ($30K) with a reasonable gap from training RMSE ($28K), indicating good generalization without severe overfitting like Random Forest.","Model Selection"
"E-commerce company wants to group customers for targeted marketing without predefined categories. They have customer data: age, income, purchase history, website behavior. What ML approach?","No existing customer segments are defined. The marketing team wants to discover natural groupings in customer behavior to create personalized campaigns.","A) Supervised classification with predefined labels","B) Unsupervised clustering (K-means or hierarchical)","C) Reinforcement learning with reward functions","D) Semi-supervised learning with some labeled customers","B","Since there are no predefined customer categories and the goal is to discover natural groupings, this is an unsupervised clustering problem.","ML Fundamentals"
"For customer clustering, how would you evaluate the quality of the clustering results?","You applied K-means with K=5 and want to validate if this is optimal and whether the clusters are well-separated and meaningful.","A) Accuracy and F1-score","B) Silhouette score and elbow method for inertia","C) Precision and recall","D) Mean squared error","B","For clustering evaluation, silhouette score measures how well-separated clusters are, while the elbow method helps determine optimal number of clusters (K).","Evaluation Metrics"
"Customer data has features: age (20-80), income ($20K-$200K), purchase_count (0-500), days_since_last_purchase (0-365). What preprocessing is needed before clustering?","K-means clustering is sensitive to feature scales. Without preprocessing, income values will dominate the distance calculations.","A) No preprocessing needed","B) Normalize/standardize all features to same scale","C) Apply log transformation only","D) Convert all features to categorical","B","K-means uses Euclidean distance, so features with larger scales (income) will dominate. Standardization ensures all features contribute equally to clustering.","Data Preprocessing"
"For fraud detection in credit card transactions, you have 1M transactions with 0.1% fraud rate. What's the primary challenge and appropriate model selection strategy?","Each transaction has 30 features (amount, merchant, location, time, etc.). False positives are costly (declined legitimate transactions), but false negatives are more costly (fraudulent transactions).","A) Class imbalance; use accuracy as primary metric","B) Class imbalance; use precision-recall and adjust threshold","C) Small dataset; use simple linear models","D) Too many features; use unsupervised learning","B","With 0.1% fraud rate, class imbalance is the main challenge. Precision-recall metrics and threshold tuning are more appropriate than accuracy for imbalanced datasets.","Model Selection"
"In fraud detection, Precision=0.85, Recall=0.75, F1=0.80. What does this mean for business impact?","Current model catches 75% of actual fraud cases. Of all transactions flagged as fraud, 85% are actually fraudulent. The business wants to minimize both missed fraud and false alarms.","A) 85% of fraudulent transactions are caught","B) 75% of fraudulent transactions are caught, 15% of flagged transactions are false alarms","C) Model has 80% accuracy","D) 85% accuracy with 75% coverage","B","Recall=0.75 means 75% of actual fraud is detected. Precision=0.85 means 15% of flagged transactions are false positives (legitimate transactions incorrectly flagged).","Evaluation Metrics"
"In a neural network for image classification, what is the purpose of the activation function in hidden layers?","Building a network to classify handwritten digits (0-9). Each image is 28x28 pixels. Without activation functions, stacked linear layers would be equivalent to a single linear layer.","A) To normalize input values","B) To introduce non-linearity and enable learning complex patterns","C) To reduce overfitting","D) To speed up training","B","Activation functions introduce non-linearity, allowing neural networks to learn complex, non-linear relationships. Without them, multiple layers would collapse to a single linear transformation.","Neural Networks"
"In forward propagation for digit classification, given input X (784 features) → Hidden Layer (128 neurons) → Output Layer (10 classes), what happens at each step?","Input: flattened 28x28 image. Hidden layer uses ReLU activation. Output layer uses softmax for probability distribution over 10 digit classes.","A) X → W1*X+b1 → ReLU → W2*H+b2 → Softmax → Probabilities","B) X → Softmax → W1*X+b1 → ReLU → Output","C) X → ReLU → Linear → Linear → Softmax","D) X → Normalize → W1*X → W2*X → Argmax","A","Forward propagation: Input X → Linear transformation (W1*X+b1) → ReLU activation → Linear transformation (W2*H+b2) → Softmax for probability distribution.","Neural Networks"
"During backpropagation in the digit classifier, gradients flow backward to update weights. If the loss is high, what happens to weight updates?","Model incorrectly predicts '3' for an image of '8' with high confidence. The cross-entropy loss is large, requiring significant weight adjustments.","A) Small weight updates due to high loss","B) Large weight updates proportional to gradient magnitude","C) No weight updates until loss decreases","D) Random weight updates regardless of loss","B","Large losses produce large gradients, leading to larger weight updates (scaled by learning rate). This helps the model correct significant errors more aggressively.","Neural Networks"
"For the 10-class digit classification problem, why is cross-entropy loss preferred over mean squared error?","Output layer produces probability distribution: [0.1, 0.05, 0.6, 0.15, 0.05, 0.02, 0.01, 0.01, 0.005, 0.005] for digit '2' (true class index 2).","A) Cross-entropy is faster to compute","B) Cross-entropy works better with softmax and provides better gradients for classification","C) MSE is only for regression problems","D) Cross-entropy requires less memory","B","Cross-entropy loss is designed for classification with softmax output. It provides better gradients and naturally handles probability distributions, while MSE can cause vanishing gradients.","Loss Functions"
"Comparing SGD, Adam, and RMSprop optimizers for training the digit classifier, which statement is most accurate?","Training on 60,000 MNIST images. SGD learning rate=0.01, Adam learning rate=0.001, RMSprop learning rate=0.001. Monitoring training loss and validation accuracy.","A) SGD always converges fastest","B) Adam adapts learning rates per parameter and often converges faster than SGD","C) RMSprop is only for RNNs","D) All optimizers perform identically","B","Adam combines momentum and adaptive learning rates per parameter, often leading to faster convergence than SGD. It maintains separate learning rates for each parameter based on historical gradients.","Optimizers"
"In PyTorch, creating a neural network for digit classification. Which architecture design choice would be most appropriate?","Using PyTorch nn.Module. Need 784 input features (28x28 pixels), hidden layers, and 10 output classes. Want to prevent overfitting on 60K training samples.","A) Single linear layer: nn.Linear(784, 10)","B) Deep network: nn.Linear(784, 512) → ReLU → Dropout → nn.Linear(512, 128) → ReLU → nn.Linear(128, 10)","C) Very wide network: nn.Linear(784, 10000) → ReLU → nn.Linear(10000, 10)","D) No hidden layers needed","B","A moderately deep network with dropout regularization can learn complex patterns while preventing overfitting. The architecture progressively reduces dimensions from 784→512→128→10.","Neural Networks"
"In PyTorch autograd, when you call loss.backward(), what exactly happens in the computational graph?","Training loop: output = model(x) → loss = criterion(output, target) → loss.backward() → optimizer.step(). The model has 3 layers with thousands of parameters.","A) Only the final layer weights are updated","B) Gradients are computed for all parameters with requires_grad=True using chain rule","C) Forward pass is repeated","D) Random gradients are assigned","B","loss.backward() uses automatic differentiation to compute gradients for all parameters with requires_grad=True by applying the chain rule through the computational graph.","Neural Networks"
"After 50 epochs of training the digit classifier: Training accuracy = 99.5%, Validation accuracy = 87%. What's happening and how to fix it?","Model: 3 hidden layers with 512 neurons each. No regularization. Learning rate = 0.001. Training loss decreasing, validation loss increasing after epoch 20.","A) Underfitting; increase model complexity","B) Overfitting; add dropout, reduce model size, or early stopping","C) Perfect performance; no changes needed","D) Bad data; collect more samples","B","Large gap between training (99.5%) and validation (87%) accuracy indicates overfitting. Solutions include dropout, smaller model, early stopping, or data augmentation.","Overfitting/Underfitting"
